Waktu,Kecerahan,Temperature,Latitude,Longtitude
5.968921769,16.70000076,27.29999924,-6.968907,107.6683177
22.32943385,16,27.29999924,-6.96874018,107.6683945
32.32327655,17.10000038,27.29999924,-6.96875284,107.6683856
42.36606764,9.699999809,27.29999924,-6.96876176,107.6683851
52.35986384,17,27.29999924,-6.96876369,107.6683867
62.35292003,17,27.29999924,-6.96876321,107.6683833
72.34982039,16.20000076,27.29999924,-6.96876155,107.6683796
82.34069424,16.60000038,27.29999924,-6.96876276,107.6683778
92.33426299,17.10000038,27.29999924,-6.96876552,107.6683739
102.3271691,16.89999962,27.29999924,-6.9687686,107.6683706
112.3730378,16.39999962,27.29999924,-6.96877054,107.668366
122.3651098,17.10000038,27.29999924,-6.96877202,107.6683664
132.3571032,17,27.29999924,-6.9688601,107.6683342
142.3546445,17.10000038,27.29999924,-6.96877396,107.6683655
152.3477878,17.10000038,27.29999924,-6.96876394,107.6683721
162.3385523,17,27.29999924,-6.96875585,107.6683797
172.3334381,16.5,27.29999924,-6.96874727,107.6683829
182.3763754,17,27.29999924,-6.96873235,107.6683831
192.3689362,16.29999924,27.29999924,-6.96871465,107.6683829
202.3661253,8.399999619,27.29999924,-6.96869803,107.6683823
212.3576854,16.10000038,27,-6.96867948,107.6683834
222.3526518,11.10000038,27,-6.96865995,107.6683831
232.3451579,12,27,-6.96863781,107.668384
242.3377875,16.70000076,27.29999924,-6.96861549,107.6683847
252.3837829,16.20000076,27.29999924,-6.96859511,107.6683856
262.3785343,11.60000038,27.29999924,-6.96857669,107.6683869
272.3678667,11.60000038,27,-6.96855767,107.6683879
282.3627894,16.39999962,27.29999924,-6.96853674,107.6683874
292.3596732,14.30000019,27,-6.96851769,107.6683862
302.3502766,13.60000038,27.29999924,-6.96849841,107.6683868
312.3441867,11.19999981,27,-6.96848006,107.6683883
322.3867565,15.60000038,27,-6.96846277,107.6683894
332.3803292,15.89999962,27,-6.96844517,107.6683899
342.3730047,10.19999981,27,-6.96842666,107.6683886
352.3687062,13,27,-6.96840726,107.668387
362.3617366,16,27,-6.96838911,107.6683846
372.3575777,9.800000191,27,-6.96837197,107.6683826
382.3487443,15.19999981,27,-6.96835288,107.6683821
392.6869018,16.29999924,27,-6.96833444,107.6683853
402.3882775,15.10000038,27,-6.96831955,107.6683922
412.3790076,13.19999981,27,-6.9683052,107.6684033
422.3732087,15.5,27,-6.9682944,107.6684184
432.3649638,14.89999962,27,-6.96828752,107.6684355
442.3598866,14.69999981,26.70000076,-6.96828403,107.6684556
452.3540707,16.29999924,26.70000076,-6.96828299,107.668477
462.3966434,14.19999981,27,-6.96828416,107.6685
472.3896839,14.69999981,26.70000076,-6.96828675,107.6685229
482.3843098,16,27,-6.96828962,107.6685468
492.380959,16.10000038,26.70000076,-6.96829203,107.6685713
502.3720273,15.89999962,26.70000076,-6.96829516,107.6685947
512.3656275,11.39999962,26.70000076,-6.96829691,107.668614
522.3605368,12.80000019,26.70000076,-6.96829699,107.668631
532.4033133,10.80000019,26.70000076,-6.96829693,107.6686509
542.9827235,15.39999962,26.70000076,-6.96829363,107.668669
552.3889696,15.60000038,26.70000076,-6.96828892,107.6686821
562.3852818,9.399999619,26.70000076,-6.96827648,107.6686945
572.3749155,15.39999962,26.70000076,-6.96825889,107.6687062
582.3725719,14.80000019,26.70000076,-6.96824227,107.6687141
592.3630177,13.80000019,26.70000076,-6.96822526,107.6687205
602.4095575,15.89999962,26.70000076,-6.96820654,107.6687252
612.4004333,12.89999962,26.70000076,-6.96818739,107.6687271
622.3943597,11.80000019,26.39999962,-6.96817003,107.6687262
632.388514,12.39999962,26.70000076,-6.96815099,107.668724
642.3819459,14.10000038,26.39999962,-6.96812947,107.6687214
652.3757463,16.70000076,26.70000076,-6.96810653,107.6687215
662.3696196,15.5,26.70000076,-6.96808384,107.6687216
672.4130068,11,26.39999962,-6.9680611,107.6687184
682.4056233,12.80000019,26.70000076,-6.96803793,107.6687133
692.3999949,13.30000019,26.70000076,-6.96801928,107.6687077
702.3933074,13.10000038,26.70000076,-6.96800423,107.6687045
712.3880397,13.80000019,26.70000076,-6.96799179,107.6687037
722.3806513,12.10000038,26.70000076,-6.96798076,107.6687044
732.3754444,13.80000019,26.70000076,-6.96797014,107.6687081
742.4190474,12.69999981,26.70000076,-6.96795663,107.6687145
752.4104018,15.60000038,26.70000076,-6.96794376,107.6687276
762.4046606,12.10000038,26.70000076,-6.9679335,107.6687468
772.398669,16,26.70000076,-6.96792801,107.6687733
782.3919558,14.10000038,26.70000076,-6.96792637,107.6688044
792.3860875,16.20000076,26.70000076,-6.9679267,107.6688381
802.3792633,14.39999962,26.70000076,-6.96792598,107.6688746
812.420329,14.30000019,26.70000076,-6.96792421,107.6689146
822.4160218,16.29999924,26.70000076,-6.96792168,107.668954
832.412769,12.19999981,26.39999962,-6.96791812,107.6689929
842.4027615,11.89999962,26.70000076,-6.96791423,107.669032
852.4003271,16,26.70000076,-6.96791024,107.6690679
862.3894141,15.5,26.70000076,-6.9679058,107.6691016
872.3848337,12.69999981,26.70000076,-6.9679016,107.6691364
882.4277294,15.80000019,26.70000076,-6.96789954,107.6691726
892.4231026,13.30000019,26.70000076,-6.96790036,107.6692099
